127.0.0.1 - - [09/Dec/2018:11:56:28 +0100] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [09/Dec/2018:11:56:33 +0100] "GET /Ecommerce/IndexServlet HTTP/1.1" 200 20137
0:0:0:0:0:0:0:1 - - [09/Dec/2018:11:56:33 +0100] "GET /Ecommerce/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [09/Dec/2018:11:56:33 +0100] "GET /Ecommerce/images/1.jpg HTTP/1.1" 200 9824
0:0:0:0:0:0:0:1 - - [09/Dec/2018:11:56:33 +0100] "GET /Ecommerce/images/2.jpg HTTP/1.1" 200 9764
0:0:0:0:0:0:0:1 - - [09/Dec/2018:11:56:33 +0100] "GET /Ecommerce/images/3.jpg HTTP/1.1" 200 9017
0:0:0:0:0:0:0:1 - - [09/Dec/2018:11:56:34 +0100] "GET /Ecommerce/images/5.jpg HTTP/1.1" 200 10324
0:0:0:0:0:0:0:1 - - [09/Dec/2018:11:56:34 +0100] "GET /Ecommerce/images/4.jpg HTTP/1.1" 200 10762
0:0:0:0:0:0:0:1 - - [09/Dec/2018:11:56:34 +0100] "GET /Ecommerce/images/6.jpg HTTP/1.1" 200 12120
0:0:0:0:0:0:0:1 - - [09/Dec/2018:11:56:34 +0100] "GET /Ecommerce/images/7.jpg HTTP/1.1" 200 13745
0:0:0:0:0:0:0:1 - - [09/Dec/2018:11:56:34 +0100] "GET /Ecommerce/images/8.jpg HTTP/1.1" 200 13246
0:0:0:0:0:0:0:1 - - [09/Dec/2018:11:56:34 +0100] "GET /Ecommerce/images/9.jpg HTTP/1.1" 200 11857
0:0:0:0:0:0:0:1 - - [09/Dec/2018:11:56:34 +0100] "GET /Ecommerce/images/11.jpg HTTP/1.1" 200 9290
0:0:0:0:0:0:0:1 - - [09/Dec/2018:11:56:34 +0100] "GET /Ecommerce/images/10.jpg HTTP/1.1" 200 10883
0:0:0:0:0:0:0:1 - - [09/Dec/2018:11:56:34 +0100] "GET /Ecommerce/images/12.jpg HTTP/1.1" 200 11153
0:0:0:0:0:0:0:1 - - [09/Dec/2018:11:56:34 +0100] "GET /Ecommerce/images/13.jpg HTTP/1.1" 200 12691
0:0:0:0:0:0:0:1 - - [09/Dec/2018:11:56:34 +0100] "GET /Ecommerce/images/15.jpg HTTP/1.1" 200 12418
0:0:0:0:0:0:0:1 - - [09/Dec/2018:11:56:34 +0100] "GET /Ecommerce/images/14.jpg HTTP/1.1" 200 11752
0:0:0:0:0:0:0:1 - - [09/Dec/2018:11:56:34 +0100] "GET /Ecommerce/images/16.jpg HTTP/1.1" 200 22456
0:0:0:0:0:0:0:1 - - [09/Dec/2018:11:56:34 +0100] "GET /Ecommerce/images/17.jpg HTTP/1.1" 200 18720
0:0:0:0:0:0:0:1 - - [09/Dec/2018:11:56:34 +0100] "GET /Ecommerce/images/19.jpg HTTP/1.1" 200 13381
0:0:0:0:0:0:0:1 - - [09/Dec/2018:11:56:34 +0100] "GET /Ecommerce/images/18.jpg HTTP/1.1" 200 13396
0:0:0:0:0:0:0:1 - - [09/Dec/2018:11:56:34 +0100] "GET /Ecommerce/images/20.jpg HTTP/1.1" 200 15727
0:0:0:0:0:0:0:1 - - [09/Dec/2018:11:56:34 +0100] "GET /Ecommerce/images/21.jpg HTTP/1.1" 200 12431
0:0:0:0:0:0:0:1 - - [09/Dec/2018:11:56:34 +0100] "GET /Ecommerce/images/23.jpg HTTP/1.1" 200 12592
0:0:0:0:0:0:0:1 - - [09/Dec/2018:11:56:34 +0100] "GET /Ecommerce/images/22.jpg HTTP/1.1" 200 11859
0:0:0:0:0:0:0:1 - - [09/Dec/2018:11:56:34 +0100] "GET /Ecommerce/images/24.jpg HTTP/1.1" 200 11830
0:0:0:0:0:0:0:1 - - [09/Dec/2018:11:56:34 +0100] "GET /Ecommerce/images/25.jpg HTTP/1.1" 200 11719
0:0:0:0:0:0:0:1 - - [09/Dec/2018:11:56:34 +0100] "GET /Ecommerce/images/27.jpg HTTP/1.1" 200 8509
0:0:0:0:0:0:0:1 - - [09/Dec/2018:11:56:34 +0100] "GET /Ecommerce/images/26.jpg HTTP/1.1" 200 15788
0:0:0:0:0:0:0:1 - - [09/Dec/2018:11:56:34 +0100] "GET /Ecommerce/images/28.jpg HTTP/1.1" 200 13477
0:0:0:0:0:0:0:1 - - [09/Dec/2018:11:56:34 +0100] "GET /Ecommerce/images/29.jpg HTTP/1.1" 200 7934
0:0:0:0:0:0:0:1 - - [09/Dec/2018:11:56:34 +0100] "GET /Ecommerce/images/30.jpg HTTP/1.1" 200 6274
0:0:0:0:0:0:0:1 - - [09/Dec/2018:11:56:34 +0100] "GET /Ecommerce/images/31.jpg HTTP/1.1" 200 10245
0:0:0:0:0:0:0:1 - - [09/Dec/2018:11:56:34 +0100] "GET /Ecommerce/images/32.jpg HTTP/1.1" 200 12869
0:0:0:0:0:0:0:1 - - [09/Dec/2018:11:56:34 +0100] "GET /Ecommerce/images/33.jpg HTTP/1.1" 200 10717
0:0:0:0:0:0:0:1 - - [09/Dec/2018:11:56:34 +0100] "GET /Ecommerce/images/34.jpg HTTP/1.1" 200 7109
0:0:0:0:0:0:0:1 - - [09/Dec/2018:11:56:34 +0100] "GET /Ecommerce/images/35.jpg HTTP/1.1" 200 9019
0:0:0:0:0:0:0:1 - - [09/Dec/2018:11:56:34 +0100] "GET /Ecommerce/images/36.jpg HTTP/1.1" 200 7865
